# 사전 예상: 종가→종가 약한 양(+) 가능 / 시가→종가 ≈ 0 (갭 선취) / 비용후 전 조합 음수
# 판정 기준(고정): 초반 양수→0 수렴 = 단명 신호 / 전 구간 0 근처 = 신호 없음 / 며칠 뒤 증가 = 해석 금지, 우연 의심
# 한계: 표본 ~240거래일이지만 기간 1년(단일 장세) — 월 검증과 표본 성격이 다름
시장,구간,일평균초과%,t,승률%,비용후%,n
KOSDAQ,종가→종가(1일),0.447,2.89,59.7,0.147,236
KOSDAQ,시가→종가(1일),-0.33,-2.7,42.4,-0.63,236
KOSDAQ,시가진입 +1일,-0.33,-2.7,42.4,-0.63,236
KOSDAQ,시가진입 +2일,-0.251,-1.36,45.8,-0.551,236
KOSDAQ,시가진입 +3일,-0.228,-1.0,48.3,-0.528,236
KOSDAQ,시가진입 +5일,0.018,0.06,48.7,-0.282,236
KOSDAQ,시가진입 +10일,-0.162,-0.39,49.2,-0.462,236
KOSPI,종가→종가(1일),0.3,2.46,58.9,-0.0,236
KOSPI,시가→종가(1일),-0.272,-3.12,38.6,-0.572,236
KOSPI,시가진입 +1일,-0.272,-3.12,38.6,-0.572,236
KOSPI,시가진입 +2일,-0.333,-2.43,41.5,-0.633,236
KOSPI,시가진입 +3일,-0.328,-1.84,41.1,-0.628,236
KOSPI,시가진입 +5일,-0.352,-1.55,42.4,-0.652,236
KOSPI,시가진입 +10일,-0.302,-0.97,41.1,-0.602,236
